link_c,link_x,price_c,price_x,title_c,title_x
catalogue/a-light-in-the-attic_1000/index.html,A Light in the ...,51.77,51.77,A Light in the ...,A Light in the ...
catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,53.74,53.74,Tipping the Velvet,Tipping the Velvet
catalogue/soumission_998/index.html,Soumission,50.1,50.1,Soumission,Soumission
catalogue/sharp-objects_997/index.html,Sharp Objects,47.82,47.82,Sharp Objects,Sharp Objects
catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History ...,54.23,54.23,Sapiens: A Brief History ...,Sapiens: A Brief History ...
catalogue/the-requiem-red_995/index.html,The Requiem Red,22.65,22.65,The Requiem Red,The Requiem Red
catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets ...,33.34,33.34,The Dirty Little Secrets ...,The Dirty Little Secrets ...
catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,The Coming Woman: A ...,17.93,17.93,The Coming Woman: A ...,The Coming Woman: A ...
catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the ...,22.6,22.6,The Boys in the ...,The Boys in the ...
catalogue/the-black-maria_991/index.html,The Black Maria,52.15,52.15,The Black Maria,The Black Maria
catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Starving Hearts (Triangular Trade ...,13.99,13.99,Starving Hearts (Triangular Trade ...,Starving Hearts (Triangular Trade ...
catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,20.66,20.66,Shakespeare's Sonnets,Shakespeare's Sonnets
catalogue/set-me-free_988/index.html,Set Me Free,17.46,17.46,Set Me Free,Set Me Free
catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little ...,52.29,52.29,Scott Pilgrim's Precious Little ...,Scott Pilgrim's Precious Little ...
catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and ...,35.02,35.02,Rip it Up and ...,Rip it Up and ...
catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Our Band Could Be ...,57.25,57.25,Our Band Could Be ...,Our Band Could Be ...
catalogue/olio_984/index.html,Olio,23.88,23.88,Olio,Olio
catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science ...,37.59,37.59,Mesaerion: The Best Science ...,Mesaerion: The Best Science ...
catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,51.33,51.33,Libertarianism for Beginners,Libertarianism for Beginners
catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,45.17,45.17,It's Only the Himalayas,It's Only the Himalayas
